comments,No.,Name,Location,Country,Lat,Long,Organisation,Ecosystem,Status,Year validated/verified,Intended duration (years),Size/area (ha),Standard,Methodology,Annual credits (t CO2e),"Status of ecosystem 
before intervention",Intervention planned,Intervention goal,Proof of additionality,"On-site monitoring
(measurements, frequency, modelling?)",Inclusion of avoided emissions,Impact on carbon sequestration,Suggested carbon storage duration,Reporting obligations,Risk management,Consideration of leakage,Fulfilment of the NbS criteria,Financing instrument,Registry entry,Website link,Unnamed: 30,registryID,projectID,latitude,longitude,latReading,lonReading,projectLink,Project Name
,1,Manglares Ursulo Galvan,Tabasco,Mexico,18.3704191614549,-93.0296712683508,Ejido Ursulo Galvan,Mangrove,Accredited,2022,,1200,Climate Action Reserve,Mx Forest Protocol,,,,,,,,,,,,,,,https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=1429,https://www.facebook.com/loriapalm/, https://www.equatorinitiative.org/2017/05/28/fundacion-san-crisanto-san-crisanto-foundation/,1429,CAR1429,,,,,https://thereserve2.apx.com/mymodule/reg/TabDocuments.asp?r=111&ad=Prpt&act=update&type=PRO&aProj=pub&tablename=doc&id1=1429,Manglares Ursulo Galvan
,2,Manglares San Crisanto,Yucatan,Mexico,21.3420195996914,-89.1885272868853,Ejido San Crisanto,Mangrove,Accredited,2022,,850,Climate Action Reserve,Mx Forest Protocol,,,,,,,,,,,,,,,https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=1428,https://www.facebook.com/loriapalm/, https://www.equatorinitiative.org/2017/05/28/fundacion-san-crisanto-san-crisanto-foundation/,1428,CAR1428,,,,,https://thereserve2.apx.com/mymodule/reg/TabDocuments.asp?r=111&ad=Prpt&act=update&type=PRO&aProj=pub&tablename=doc&id1=1428,Manglares San Crisanto
,3,Vida Manglar,"Cispata, Gulf of Morrosquillo",Colombia,9.36673954458163,-75.8791787686271,Conservation International,Mangrove,Accredited,2021,30,7561,"Verra VCS, Verra CCB",VM0007,31310,Mangrove logging,"(i) strengthening of governance, (ii) alternative productive projects, (iii) recovery and rehabilitation of mangrove areas, (iv) monitoring","1) Conservation and sustainable management of the mangrove ecosystem, marshes, and associated streams.
4.1.3
2) Strengthening local governance and management of protected marine-coastal areas at the regional level.
3.1.5
3) Maintenance and promotion of sustainable community management practices of mangrove forests and increased perception of the value of forest resources
2.1.1
4) Economic empowerment of community groups and increased job opportunities.
4
5) Habitat protection for three species of fauna that have a significant threat category, rescue, rehabilitation and release activities, and identification of methods for their follow-up and monitoring.",,,Yes,,,,,,,,https://registry.verra.org/app/projectDetail/VCS/2290,https://www.conservation.org/press-releases/2021/05/06/a-new-lifeline-for-the-world%E2%80%99s-mangrove-forests,,2290,VCS2290,9.324177,-75.725577,9.36673954458163,-75.8791787686271,https://registry.verra.org/uiapi/resource/resourceSummary/2290,BLUE CARBON PROJECT GULF OF MORROSQUILLO “VIDA MANGLAR”
,4,Livelihoods Senegal,Casamance,Senegal,14.5502832558067,-14.9404893086289,Livelihoods Fund,Mangrove,Accredited,2014,,10415,Verra VCS,AR-AM0014,30000,,,,,,,,,,,,,,https://registry.verra.org/app/projectDetail/VCS/1318,https://livelihoods.eu/portfolio/oceanium-senegal/,,1318,VCS1318,12.875583,-16.354489,14.5502832558067,-14.9404893086289,https://registry.verra.org/uiapi/resource/resourceSummary/1318,Livelihoods' mangrove restoration grouped project in Senegal
,5,Community-based avoided deforestation project in Guinea-Bissau,Cacheu,Guinea-Bissau,12.310658,-16.190328,BioGuinea Foundation,Mangrove,Accredited,2020,,145698,Verra VCS,VM0007,920436,,,,,,,,,,,,,,https://registry.verra.org/app/projectDetail/VCS/2324,,,2324,VCS2324,12.310658,-16.190328,,,https://registry.verra.org/uiapi/resource/resourceSummary/2324,COMMUNITY BASED AVOIDED DEFORESTATION PROJECT IN GUINEA-BISSAU - REDD
,6,Vanga,Gazi Bay,Kenya,-4.61762,39.254377,"ACES - Association for Ecosystem Services, UK",Mangrove,Accredited,2019,,460,Plan Vivo,Custom,6702,,,,,,,,,,,,,,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000026945,https://www.planvivo.org/vanga,,104000000026945,,,,,,,
,7,Mikoko Pamoja,Gazi Bay,Kenya,-4.414875,39.522913,"ACES - Association for Ecosystem Services, UK",Mangrove,Accredited,2013/2018,,117,Plan Vivo,Custom,2500,,,,,,,,,,,,,,https://mer.markit.com/br-reg/public/project.jsp?project_id=103000000008881,https://www.planvivo.org/mikoko-pamoja,,103000000008881,,,,,,,
,8,Tahiri Honko, ,Madagascar,-22.193425,43.277966,Blue Ventures,Mangrove,Accredited,2018,,1230,Plan Vivo,Custom,1371,,,,,,,,,,,,,,,https://blueventures.org/tag/tahiry-honko/,,<NA>,,,,,,,
,22,MarVivo,Baja California Sur,Mexico,24.651593,-112.006798,MarVivo Corporation,Mangrove,Undergoing validation,,,159000," Verra VCS, Verra CCB, SD VISta",,,,,,,,,,,,,,,,,https://marvivo.earth/; https://www.carbonstreaming.com/project/magdalena-bay-blue-carbon/,,<NA>,,,,,,,
,28,Restoration and protection of mangroves and Blue Carbon ecosystems in North Yucatan,Yucatan,Mexico,21.264704,-89.672853,"CINVESTAV, SCTS",Mangrove,Undergoing validation,,,1542,Plan Vivo,,,,,,,,,,,,,,,,,,,<NA>,,,,,,,
