Project ID,Project Name,Project Developer,Project Owner,Project Type,Status,ARB Project Status,Project Site Location,Project Site State,Project Site Country,Total Number of Offset Credits Registered ,Project Listed Date,Project Registered Date,Project Website,Proponent,AFOLU Activities,Methodology,Country,Region,Estimated Annual Emission Reductions,Crediting Period Start,Crediting Period End,Registration Date,Unnamed: 23,plainID,No.,Name,Location,Lat ,Long,Organisation,Ecosystem,Year validated/verified,Intended duration (years),Size/area (ha),Standard,Annual credits (t CO2e),"Status of ecosystem 
before intervention",Intervention planned,Intervention goal,Inclusion of avoided emissions,Registry entry,Website link,Unnamed: 30,registryID,projectID,projectLink,urlDown,urlFileNames,latitude,longitude,latReading,lonReading
CAR1428,Manglares San Crisanto,FUNDACION SAN CRISANTO,EJIDO SAN CRISANTO,Forestry - MX,Registered,Not ARB Eligible,Beach,YUCATÁN,MX,13349.0,2020-07-31,2022-05-03,https://www.facebook.com/loriapalm/,,,,,,,,,,,1428.0,2.0,Manglares San Crisanto,Yucatan,21.35238,-89.17171,Ejido San Crisanto,Mangrove,2022,,850.0,Climate Action Reserve,,,,,,https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=1428,https://www.facebook.com/loriapalm/, https://www.equatorinitiative.org/2017/05/28/fundacion-san-crisanto-san-crisanto-foundation/,1428,CAR1428,https://thereserve2.apx.com/mymodule/reg/TabDocuments.asp?r=111&ad=Prpt&act=update&type=PRO&aProj=pub&tablename=doc&id1=1428,https://thereserve2.apx.com/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=58641&IDKEY=9iofj09234rm9oq4jndsma80vcalksdjf98cxkjaf90823nmq3k80865939,Shape_Area Proyecto Ejido Total.zip,,,,
CAR1429,Manglares Ursulo Galvan,EJIDO URSULO GALVAN,EJIDO URSULO GALVAN,Forestry - MX,Registered,Not ARB Eligible,Basin,TABASCO,MX,5192.0,2020-07-31,2022-11-29,https://www.facebook.com/search/top?q=ejido%20%C3%BArsulo%20galv%C3%A1n,,,,,,,,,,,1429.0,1.0,Manglares Ursulo Galvan,Tabasco,19.40502,-96.35855,Ejido Ursulo Galvan,Mangrove,2022,,1200.0,Climate Action Reserve,,,,,,https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=1429,https://www.facebook.com/loriapalm/, https://www.equatorinitiative.org/2017/05/28/fundacion-san-crisanto-san-crisanto-foundation/,1429,CAR1429,https://thereserve2.apx.com/mymodule/reg/TabDocuments.asp?r=111&ad=Prpt&act=update&type=PRO&aProj=pub&tablename=doc&id1=1429,https://thereserve2.apx.com/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=58639&IDKEY=sq934lkmsad39asjdkfj90qlkalsdkngaf98ulkandDfdvDdfh880863181,shapefile AREA PROYECTO-UG 2914ha.zip,,,,
VCS1318,Livelihoods' mangrove restoration grouped project in Senegal,,,Agriculture Forestry and Other Land Use,Registered,,,,,,,,,Livelihoods Fund SICAV SIF,ARR,AR-AM0014,Senegal,Africa,30000.0,2009-07-31,2039-07-30,2020-04-06,,1318.0,4.0,Livelihoods Senegal,Casamance,,,Livelihoods Fund,Mangrove,2014,,10415.0,Verra VCS,30000.0,,,,,https://registry.verra.org/app/projectDetail/VCS/1318,https://livelihoods.eu/portfolio/oceanium-senegal/,,VCS1318,VCS1318,https://registry.verra.org/uiapi/resource/resourceSummary/1318,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=14763&IDKEY=8q934lkmsad39asjdkfj90qlkalsdkngaf98ulkandDfdvDdfhs20358177,ARR_project_Livelihoods_Senegal.kml,12.875583,-16.354489,14.550283255806658,-14.940489308628917
VCS1463,India Sundarbans Mangrove Restoration,,,Agriculture Forestry and Other Land Use,Registered,,,,,,,,,Livelihoods Fund SICAV SIF,ARR,AR-AM0014,India,Asia,51249.0,2010-09-28,2030-09-27,2020-04-06,.,1463.0,10.0,India Sundarbans Mangrove Restoration,West Bengal,,,Livelihoods Fund,Mangrove,2015,,4675.0,Verra VCS,34275.0,,,,,https://registry.verra.org/app/projectDetail/VCS/1463,https://livelihoods.eu/portfolio/news-india/,,VCS1463,VCS1463,https://registry.verra.org/uiapi/resource/resourceSummary/1463,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=15816&IDKEY=3q934lkmsad39asjdkfj90qlkalsdkngaf98ulkandDfdvDdfhk21810264,NEWS project boundary cluster.kml,21.90549,88.44651,21.92952624922791,88.46348290335877
VCS1493,"Mangrove restoration and coastal greenbelt protection in the East coast of Aceh and North Sumatra Province, Indonesia",,,Agriculture Forestry and Other Land Use,Registered,,,,,,,,,Livelihoods Fund SICAV SIF,ARR,AR-AM0014,Indonesia,Asia,124706.0,2011-06-14,2031-06-13,2020-04-06,.,1493.0,12.0,Livelihoods Yagasu,"Aceh, Sumatra",,,Livelihoods Fund,Mangrove,2015,,1000.0,Verra VCS,124706.0,,,,,https://registry.verra.org/app/projectDetail/VCS/1493,https://livelihoods.eu/portfolio/yagasu-indonesia/,,VCS1493,VCS1493,https://registry.verra.org/uiapi/resource/resourceSummary/1493,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=17410&IDKEY=siquwesdfmnk0iei23nnm435oiojnc909dsflk9809adlkmlkfi24008390,2015_09_01_YAGASU_PLANTING_PLOTS_ALL_VCS.kml,4.65,97.59,4.452090902091138,98.15512409731893
VCS1760,The Haidar EL ALI Mangrove Initiative (HEAMI),,,Agriculture Forestry and Other Land Use,Under development,,,,,,,,,Multiple Proponents,ARR,AR-AMS0003,Senegal,Africa,30170.0,2018-08-01,2048-07-31,,,1760.0,34.0,HEAMI - The Haidar El Ali mangrove initiative,Sine Saloum,,,ALLCOT,Mangrove,,,2000.0,Verra VCS,30170.0,,,,,https://registry.verra.org/app/projectDetail/VCS/1760,,,VCS1760,VCS1760,https://registry.verra.org/uiapi/resource/resourceSummary/1760,,,14.570555,-16.574165,,
VCS1764,"Reforestation and Restoration of degraded mangrove lands, sustainable livelihood and community development in Myanmar",,,Agriculture Forestry and Other Land Use,Registered,,,,,,,,,Worldview International Foundation,ARR; WRC,AR-AM0014,Myanmar,Asia,184006.0,2015-06-15,2045-06-14,2017-06-26,,1764.0,11.0,Thor Heyerdahl Climate Park,Myanmar,,,Worldview International Foundation,Mangrove,2018,,2100.0,Verra VCS,184006.0,,,,,https://registry.verra.org/app/projectDetail/VCS/1764,https://www.worldview.foundation/reforestation-2021/,,VCS1764,VCS1764,https://registry.verra.org/uiapi/resource/resourceSummary/1764,,,17.067264,94.465384,,
VCS2088,Mangrove Restoration and Sustainable Development in Myanmar,,,Agriculture Forestry and Other Land Use,Registration requested,,,,,,,,,Worldview International Foundation,ARR; WRC,AR-AM0014,Myanmar,Asia,403831.0,2020-09-01,2040-08-31,,,2088.0,44.0,Mangrove restoration and sustainable development,Ayeyarwadi,,,Worldview International Foundation,Mangrove,,,4500.0,Verra VCS,403831.0,,,,,https://registry.verra.org/app/projectDetail/VCS/2088,https://wif.foundation/,,VCS2088,VCS2088,https://registry.verra.org/uiapi/resource/resourceSummary/2088,,,17.291944,94.565833,,
VCS2250,Delta Blue Carbon – 1,,,Agriculture Forestry and Other Land Use,Registered,,,,,,,,,Multiple Proponents,ARR; WRC,VM0033,Pakistan,Asia,2407629.0,2015-02-19,2075-02-18,2021-12-20,,2250.0,9.0,Delta Blue Carbon - 1,Indus Delta,,,Indus Delta Capital,Mangrove,2021/2022,,350000.0,"Verra VCS, Verra CCB",2407629.0,,,,,https://registry.verra.org/app/projectDetail/VCS/2250,https://deltabluecarbon.com/project-details/,,2250,VCS2250,https://registry.verra.org/uiapi/resource/resourceSummary/2250,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=75495&IDKEY=90e98hfalksuf098fnsdalfkjfoijmn4309JLKJFjlaksjfla9J104107605,KML_2250.kml,24.796665,68.670276,24.104800723108635,67.76293224706392
VCS2290,BLUE CARBON PROJECT GULF OF MORROSQUILLO “VIDA MANGLAR”,,,Agriculture Forestry and Other Land Use,Registered,,,,,,,,,Conservation International Foundation,REDD,VM0007,Colombia,Latin America,31310.0,2015-05-15,2045-05-14,2021-05-06,,2290.0,3.0,Vida Manglar,"Cispata, Gulf of Morrosquillo",,,Conservation International,Mangrove,2021,30.0,7561.0,"Verra VCS, Verra CCB",31310.0,Mangrove logging,"(i) strengthening of governance, (ii) alternative productive projects, (iii) recovery and rehabilitation of mangrove areas, (iv) monitoring","1) Conservation and sustainable management of the mangrove ecosystem, marshes, and associated streams.
4.1.3
2) Strengthening local governance and management of protected marine-coastal areas at the regional level.
3.1.5
3) Maintenance and promotion of sustainable community management practices of mangrove forests and increased perception of the value of forest resources
2.1.1
4) Economic empowerment of community groups and increased job opportunities.
4
5) Habitat protection for three species of fauna that have a significant threat category, rescue, rehabilitation and release activities, and identification of methods for their follow-up and monitoring.",Yes,https://registry.verra.org/app/projectDetail/VCS/2290,https://www.conservation.org/press-releases/2021/05/06/a-new-lifeline-for-the-world%E2%80%99s-mangrove-forests,,2290,VCS2290,https://registry.verra.org/uiapi/resource/resourceSummary/2290,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=46685&IDKEY=j097809fdslkjf09rndasfufd098asodfjlkduf09nm23mrn87u64378615,DMI_Cispata_V3.kml,9.324177,-75.725577,9.36673954458163,-75.87917876862709
